model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.4953271028037383
mini_rocket_class,14998,20,1,False,0.95,15min,10,False,0.48464619492656874
mini_rocket_class,14998,20,1,False,0.95,15min,10,False,0.48998664886515353
mini_rocket_class,14998,20,1,True,0.95,15min,3,False,0.48598130841121495
mini_rocket_class,14998,20,1,True,0.95,,15,False,0.4753004005340454
mini_rocket_class,14998,20,1,True,0.95,,5,False,0.5046728971962616
mini_rocket_class,14998,20,1,False,0.95,15min,5,True,0.4685408299866131
mini_rocket_class,14998,20,1,False,0.95,,5,True,0.4886211512717537
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5113788487282463
mini_rocket_class,14998,20,1,False,0.95,15min,1,True,0.49129852744310576
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5153949129852744
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.4886211512717537
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.47925033467202144
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5180722891566265
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5207496653279786
mini_rocket_class,14998,20,1,True,0.95,,1,True,0.48460508701472554
mini_rocket_class,14998,20,1,True,0.95,,3,True,0.4886211512717537
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5087014725568942
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5167336010709505
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.48326639892904955
mini_rocket_class,14998,20,1,True,0.95,,10,True,0.4926372155287818
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5314591700133868
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.4899598393574297
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.499330655957162
mini_rocket_class,14998,20,1,True,0.95,,1,True,0.5167336010709505
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5020080321285141
mini_rocket_class,14998,20,1,True,0.95,15min,3,True,0.499330655957162
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5087014725568942
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.4939759036144578
mini_rocket_class,14998,20,1,False,0.95,,15,False,0.48064085447263016
mini_rocket_class,14998,20,1,True,0.95,,1,True,0.49129852744310576
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.500669344042838
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.4859437751004016
mini_rocket_class,14998,20,1,True,0.95,,10,True,0.4779116465863454
mini_rocket_class,14998,20,1,False,0.95,15min,15,False,0.49132176234979974
mini_rocket_class,14998,20,1,True,0.95,,3,False,0.48464619492656874
mini_rocket_class,14998,20,1,True,0.95,15min,10,True,0.4779116465863454
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.5100133511348465
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.48326639892904955
mini_rocket_class,14998,20,1,True,0.95,15min,15,True,0.4899598393574297
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.5287049399198932
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.4886515353805073
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.5033377837116155
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.5300400534045394
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.507343124165554
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.48598130841121495
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.5086782376502003
mini_rocket_class,14998,20,1,False,0.95,15min,5,False,0.49666221628838453
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.514018691588785
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.4712950600801068
