model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy
lstm_fcn_class,199961,20,15,False,0.95,1min,15,False,0.48149259703881553
lstm_fcn_class,199961,20,15,True,0.95,,10,True,0.49884942471235616
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.5177588794397199
lstm_fcn_class,199961,20,1,True,0.95,1min,10,False,0.5148544563369011
lstm_fcn_class,199961,20,1,True,0.95,1min,3,True,0.49814907453726864
lstm_fcn_class,199961,20,15,True,0.95,1min,10,False,0.5086034413765507
lstm_fcn_class,199961,20,15,False,0.95,1min,15,True,0.5111555777888944
lstm_fcn_class,199961,20,5,False,0.95,,10,False,0.5080524157247174
lstm_fcn_class,199961,20,5,True,0.95,1min,10,False,0.5207562268680604
lstm_fcn_class,199961,20,5,True,0.95,,5,True,0.5202601300650325
lstm_fcn_class,199961,20,5,True,0.95,1min,1,False,0.5147544263278984
lstm_fcn_class,199961,20,5,True,0.95,,5,True,0.5075537768884443
lstm_fcn_class,199961,20,5,True,0.95,,5,False,0.5163549064719416
lstm_fcn_class,199961,20,5,True,0.95,,5,True,0.49884942471235616
lstm_fcn_class,199961,20,5,True,0.95,,3,False,0.5034510353105932
lstm_fcn_class,199961,20,5,True,0.95,1min,1,True,0.5067533766883442
lstm_fcn_class,199961,20,1,True,0.95,1min,5,True,0.5074537268634317
lstm_fcn_class,199961,20,5,True,0.95,,5,False,0.5148544563369011
lstm_fcn_class,199961,20,5,False,0.95,,15,True,0.5082541270635318
lstm_fcn_class,199961,20,1,True,0.95,1min,3,False,0.5066519955986796
lstm_fcn_class,199961,20,5,True,0.95,1min,1,False,0.5015504651395418
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.5095547773886944
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.5150575287643822
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.5173586793396698
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.5138569284642321
lstm_fcn_class,199961,20,5,False,0.95,,5,True,0.49814907453726864
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.5117558779389695
lstm_fcn_class,199961,20,5,True,0.95,,10,True,0.512656328164082
lstm_fcn_class,199961,20,15,False,0.95,1min,5,False,0.5070028011204482
lstm_fcn_class,199961,20,1,False,0.95,1min,15,False,0.5094528358507552
lstm_fcn_class,199961,20,15,True,0.95,,1,True,0.5042521260630315
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.5022511255627814
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.52056028014007
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.496248124062031
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.5083541770885442
lstm_fcn_class,199961,20,1,False,0.95,,10,True,0.5135567783891946
lstm_fcn_class,199961,20,15,True,0.95,1min,3,True,0.5059529764882441
lstm_fcn_class,199961,20,5,True,0.95,,10,False,0.510853255976793
lstm_fcn_class,199961,20,5,False,0.95,1min,15,True,0.5158579289644822
lstm_fcn_class,199961,20,15,True,0.95,,10,False,0.5008003201280512
lstm_fcn_class,199961,20,5,False,0.95,1min,10,True,0.49744872436218107
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.5084542271135568
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.505152576288144
lstm_fcn_class,199961,20,5,False,0.95,,10,True,0.511055527763882
lstm_fcn_class,199961,20,5,False,0.95,,5,True,0.5171585792896448
lstm_fcn_class,199961,20,5,True,0.95,,10,True,0.5022511255627814
lstm_fcn_class,199961,20,5,False,0.95,,3,False,0.5067520256076823
lstm_fcn_class,199961,20,1,True,0.95,1min,5,True,0.510855427713857
lstm_fcn_class,199961,20,5,True,0.95,,10,False,0.5141542462738822
lstm_fcn_class,199961,20,5,False,0.95,,15,True,0.5080540270135068
