model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy,test_size,task,time_step,lag_minute,index_bin
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.4953271028037383,5%,class,15min,15,False
mini_rocket_class,14998,20,1,False,0.95,15min,10,False,0.4846461949265687,5%,class,15min,15,True
mini_rocket_class,14998,20,1,False,0.95,15min,10,False,0.4899866488651535,5%,class,15min,15,True
mini_rocket_class,14998,20,1,True,0.95,15min,3,False,0.4859813084112149,5%,class,15min,15,True
mini_rocket_class,14998,20,1,True,0.95,,15,False,0.4753004005340454,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,5,False,0.5046728971962616,5%,class,15min,15,False
mini_rocket_class,14998,20,1,False,0.95,15min,5,True,0.4685408299866131,5%,class,15min,15,True
mini_rocket_class,14998,20,1,False,0.95,,5,True,0.4886211512717537,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5113788487282463,5%,class,15min,15,False
mini_rocket_class,14998,20,1,False,0.95,15min,1,True,0.4912985274431057,5%,class,15min,15,True
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5153949129852744,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.4886211512717537,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.4792503346720214,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5180722891566265,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5207496653279786,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,1,True,0.4846050870147255,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,3,True,0.4886211512717537,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5087014725568942,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5167336010709505,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.4832663989290495,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,10,True,0.4926372155287818,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5314591700133868,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.4899598393574297,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.499330655957162,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,1,True,0.5167336010709505,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5020080321285141,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,15min,3,True,0.499330655957162,5%,class,15min,15,True
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.5087014725568942,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.4939759036144578,5%,class,15min,15,False
mini_rocket_class,14998,20,1,False,0.95,,15,False,0.4806408544726301,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,1,True,0.4912985274431057,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.500669344042838,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.4859437751004016,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,10,True,0.4779116465863454,5%,class,15min,15,False
mini_rocket_class,14998,20,1,False,0.95,15min,15,False,0.4913217623497997,5%,class,15min,15,True
mini_rocket_class,14998,20,1,True,0.95,,3,False,0.4846461949265687,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,15min,10,True,0.4779116465863454,5%,class,15min,15,True
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.5100133511348465,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,,15,True,0.4832663989290495,5%,class,15min,15,False
mini_rocket_class,14998,20,1,True,0.95,15min,15,True,0.4899598393574297,5%,class,15min,15,True
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.5287049399198932,5%,class,15min,15,False
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.4886515353805073,5%,class,15min,15,False
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.5033377837116155,5%,class,15min,15,False
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.5300400534045394,5%,class,15min,15,False
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.507343124165554,5%,class,15min,15,False
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.4859813084112149,5%,class,15min,15,False
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.5086782376502003,5%,class,15min,15,False
mini_rocket_class,14998,20,1,False,0.95,15min,5,False,0.4966622162883845,5%,class,15min,15,True
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.514018691588785,5%,class,15min,15,False
mini_rocket_class,14998,20,1,False,0.95,,5,False,0.4712950600801068,5%,class,15min,15,False
