model,df_len,epochs,lag,dif_all,train_size,index,buckets,TI,bin_accuracy,test_size,task,time_step,lag_minute,index_bin
lstm_class,39993,20,3,False,0.95,5min,10,False,0.5047523761880941,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,3,False,0.5082541270635318,100,class,5min,15,True
lstm_class,39993,20,1,False,0.95,,3,True,0.513770655983976,100,class,5min,5,False
lstm_class,39993,20,3,True,0.95,,1,True,0.4977466199298948,100,class,5min,15,False
lstm_class,39993,20,3,True,0.95,5min,15,False,0.512256128064032,100,class,5min,15,True
lstm_class,39993,20,1,True,0.95,,10,True,0.5067601402103155,100,class,5min,5,False
lstm_class,39993,20,1,True,0.95,5min,10,False,0.5127563781890946,100,class,5min,5,True
lstm_class,39993,20,3,True,0.95,5min,1,True,0.5257886830245369,100,class,5min,15,True
lstm_class,39993,20,1,False,0.95,5min,3,True,0.5122684026039058,100,class,5min,5,True
lstm_class,39993,20,3,False,0.95,,10,True,0.4787180771156735,100,class,5min,15,False
lstm_class,39993,20,3,True,0.95,5min,5,True,0.5272909364046069,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,5,True,0.5217826740110165,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,5,True,0.5122684026039058,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,1,True,0.513269904857286,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,5,True,0.486229344016024,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,1,True,0.5112669003505258,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,15,True,0.5052578868302454,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,1,True,0.5097646469704556,100,class,5min,15,True
lstm_class,39993,20,1,False,0.95,,5,False,0.5072536268134067,100,class,5min,5,False
lstm_class,39993,20,3,True,0.95,5min,1,True,0.5252879318978467,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,5,True,0.4932398597896845,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,1,True,0.5027541311967952,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,1,True,0.5343014521782674,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,1,True,0.514772158237356,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,1,True,0.5047571357035553,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,15,True,0.486229344016024,100,class,5min,15,True
lstm_class,39993,20,1,False,0.95,,5,False,0.4917458729364682,100,class,5min,5,False
lstm_class,39993,20,3,True,0.95,5min,1,True,0.5042563845768653,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,1,True,0.5092638958437656,100,class,5min,15,True
lstm_class,39993,20,3,False,0.95,5min,5,False,0.5007503751875938,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,3,True,0.499749624436655,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,1,True,0.5172759138708062,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,1,True,0.5097646469704556,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,1,True,0.4942413620430645,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,1,True,0.5157736604907361,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,,3,False,0.5087543771885943,100,class,5min,15,False
lstm_class,39993,20,1,True,0.95,5min,15,True,0.5032548823234853,100,class,5min,5,True
lstm_class,39993,20,3,False,0.95,5min,10,True,0.5002503755633451,100,class,5min,15,True
lstm_class,39993,20,1,True,0.95,,1,False,0.5237618809404703,100,class,5min,5,False
lstm_class,39993,20,3,True,0.95,5min,1,True,0.5082623935903856,100,class,5min,15,True
lstm_class,39993,20,3,False,0.95,5min,10,True,0.4967451176765147,100,class,5min,15,True
lstm_class,39993,20,1,True,0.95,,1,False,0.5137568784392196,100,class,5min,5,False
lstm_class,39993,20,1,True,0.95,,1,False,0.512256128064032,100,class,5min,5,False
lstm_class,39993,20,1,True,0.95,,1,False,0.5092546273136568,100,class,5min,5,False
lstm_class,39993,20,1,True,0.95,,3,False,0.5032516258129065,100,class,5min,5,False
lstm_class,39993,20,1,True,0.95,,1,False,0.5227613806903452,100,class,5min,5,False
lstm_class,39993,20,1,True,0.95,,5,False,0.4897448724362181,100,class,5min,5,False
lstm_class,39993,20,3,True,0.95,5min,1,True,0.5307961942914372,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,10,True,0.4922383575363044,100,class,5min,15,True
lstm_class,39993,20,3,True,0.95,5min,15,True,0.5172759138708062,100,class,5min,15,True
